positionX, positionY, positionZ, phaseX, phaseY, phaseZ, myocyte_index, flag 
40.782843,40.782843,51.065685,4.076870,4.048586,5.071213,0,0
40.500000,40.500000,51.065685,4.042929,4.051414,5.088184,0,0
40.782843,40.500000,49.934315,4.054243,4.031615,5.031615,0,0
39.368629,39.934315,50.217157,3.986360,4.031615,5.057071,0,0
40.500000,40.500000,49.651472,4.042929,4.028787,5.014645,0,0
40.782843,40.500000,50.500000,4.057071,4.057071,5.040101,0,0
40.782843,41.065685,50.217157,4.079698,4.074042,5.034444,0,0
40.782843,40.217157,51.348528,4.062728,4.028787,5.074042,0,0
40.500000,40.782843,50.217157,4.034444,4.071213,5.042929,0,0
40.782843,40.217157,50.782843,4.040101,4.028787,5.096669,0,0
40.217157,39.934315,50.500000,4.025958,4.025958,5.051414,0,0
40.782843,40.217157,50.217157,4.031615,4.034444,5.057071,0,0
40.500000,41.348528,50.500000,4.034444,4.082527,5.028787,0,0
40.782843,40.500000,51.631371,4.059899,4.031615,5.107983,0,0
39.934315,39.934315,50.782843,4.034444,4.040101,5.059899,0,0
41.065685,40.500000,50.782843,4.062728,4.040101,5.054243,0,0
39.651472,40.500000,50.217157,3.994846,4.042929,5.062728,0,0
40.500000,40.500000,50.500000,4.054243,4.062728,5.082527,0,0
40.500000,40.500000,50.500000,4.074042,4.054243,5.051414,0,0
40.500000,40.500000,49.934315,4.048586,4.065556,5.025958,0,0
40.217157,40.500000,50.500000,4.042929,4.042929,5.059899,0,0
40.500000,39.934315,50.217157,4.034444,4.025958,5.017473,0,0
39.934315,40.500000,51.348528,4.000503,4.028787,5.102326,0,0
39.934315,41.065685,50.782843,4.011816,4.099497,5.062728,0,0
41.065685,39.651472,50.782843,4.057071,4.003331,5.059899,0,0
40.500000,41.065685,50.500000,4.057071,4.065556,5.076870,0,0
41.348528,40.500000,49.934315,4.082527,4.031615,5.031615,0,0
40.500000,39.934315,50.782843,4.040101,4.000503,5.085355,0,0
40.217157,40.217157,50.217157,4.037272,4.054243,5.042929,0,0
40.500000,40.217157,51.065685,4.051414,4.040101,5.082527,0,0
41.065685,40.500000,50.500000,4.079698,4.034444,5.076870,0,0
41.065685,40.217157,51.631371,4.079698,4.034444,5.093841,0,0
40.217157,40.217157,50.500000,4.020302,4.040101,5.068385,0,0
40.217157,40.782843,50.782843,4.057071,4.059899,5.082527,0,0
41.065685,40.217157,50.782843,4.076870,4.025958,5.062728,0,0
40.500000,39.934315,50.500000,4.048586,4.045757,5.034444,0,0
39.934315,40.782843,51.065685,4.006159,4.054243,5.091012,0,0
40.217157,41.065685,50.500000,4.017473,4.071213,5.028787,0,0
39.934315,41.348528,51.065685,4.011816,4.076870,5.071213,0,0
40.217157,40.217157,50.782843,4.023130,4.042929,5.062728,0,0
40.500000,39.934315,50.500000,4.057071,4.054243,5.034444,0,0
40.782843,40.217157,51.065685,4.068385,4.048586,5.079698,0,0
40.217157,40.500000,51.065685,4.028787,4.057071,5.093841,0,0
39.934315,40.217157,50.500000,4.040101,4.014645,5.076870,0,0
41.065685,40.500000,50.500000,4.068385,4.057071,5.054243,0,0
40.782843,39.934315,50.782843,4.079698,4.023130,5.062728,0,0
40.500000,40.782843,49.934315,4.057071,4.059899,5.031615,0,0
39.651472,40.782843,49.651472,4.020302,4.085355,5.008988,0,0
41.348528,40.782843,50.500000,4.085355,4.057071,5.068385,0,0
40.782843,40.217157,49.934315,4.068385,4.037272,5.020302,0,0
39.651472,39.934315,50.500000,4.020302,4.034444,5.037272,0,0
40.782843,40.782843,50.500000,4.059899,4.074042,5.048586,0,0
40.217157,40.217157,50.217157,4.040101,4.048586,5.048586,0,0
40.782843,40.217157,50.217157,4.042929,4.031615,5.048586,0,0
